ChampionShip Title,Match Tour,Team A,Score A,Time,Score B,Team B,Match Status,Match Channel
الدوري الإنجليزي,الأسبوع الرابع عشر,إيبسويتش تاون,-,21:30,-,كريستال بالاس,لم تبدأ,بى ان سبورت 2 HD
الدوري الإنجليزي,الأسبوع الرابع عشر,ليستر سيتي,-,22:15,-,وست هام يونايتد,لم تبدأ,
الدوري الإسباني,الأسبوع التاسع عشر,مايوركا,0,20:00,1,برشلونة,الشوط الأول,بى ان سبورت 1HD
دوري القسم الثاني-أ,الأسبوع  العاشر,السكة الحديد مودرن,0,14:30,1,الترسانة,انتهت,
دوري أبطال آسيا للنخبة,الجولة السادسة,مارينيرز,0,10:00,4,يوكوهاما مارينوس,انتهت,Bein Sports AFC 1
دوري أبطال آسيا للنخبة,الجولة السادسة,بوهانج,3,12:00,1,فيسيل كوبه,انتهت,
دوري أبطال آسيا للنخبة,الجولة السادسة,شانغهاي إيست آسيا,1,14:00,1,نادي غوانغجو,انتهت,
دوري أبطال آسيا للنخبة,الجولة السادسة,جوهور دارول تاكزيم,0,14:00,0,بوريرام,انتهت,
دوري أبطال آسيا للنخبة,الجولة السادسة,باختاكور,1,16:00,1,العين,انتهت,Bein Sports AFC
دوري أبطال آسيا للنخبة,الجولة السادسة,الهلال,1,20:00,0,الغرافة,الشوط الأول,Bein Sports AFC
كأس ألمانيا,دور الـ 16,ارمينيا بيليفيلت,2,19:00,0,فرايبورج,الشوط الثاني,
كأس ألمانيا,دور الـ 16,يان ريجينسبورج,0,19:00,3,شتوتجارت,الشوط الثاني,
كأس ألمانيا,دور الـ 16,بايرن ميونيخ,-,21:45,-,باير ليفركوزن,لم تبدأ,
كأس ألمانيا,دور الـ 16,فيردر بريمن,-,21:45,-,دارمشتات,لم تبدأ,
كأس إيطاليا,دور الـ 16,بولونيا,2,19:30,0,مونزا,استراحة,
كأس إيطاليا,دور الـ 16,ميلان,-,22:00,-,ساسولو,لم تبدأ,
