ChampionShip Title,Match Tour,Team A,Score A,Time,Score B,Team B,Match Status,Match Channel
الدوري المصري,الجولة الرابعة,سيراميكا كليوباترا,4,17:00,1,مودرن سبورت,انتهت,Ontime sports 2
الدوري المصري,الجولة الرابعة,زد,2,17:00,0,حرس الحدود,انتهت,Ontime sports 1
الدوري المصري,الجولة الرابعة,الاتحاد السكندري,0,20:00,1,طلائع الجيش,انتهت,Ontime sports 1
الدوري الإنجليزي,الأسبوع الثالث عشر,كريستال بالاس,1,17:00,1,نيوكاسل,انتهت,بى ان سبورت 2 HD
الدوري الإنجليزي,الأسبوع الثالث عشر,برينتفورد,4,17:00,1,ليستر سيتي,انتهت,بى ان سبورت اكسترا 2
الدوري الإنجليزي,الأسبوع الثالث عشر,وولفرهامبتون,2,17:00,4,بورنموث,انتهت,بى ان سبورت اكسترا 3
الدوري الإنجليزي,الأسبوع الثالث عشر,نوتينجهام فورست,1,17:00,0,إيبسويتش تاون,انتهت,بى ان سبورت اكسترا 1
الدوري الإنجليزي,الأسبوع الثالث عشر,وست هام يونايتد,2,19:30,5,أرسنال,انتهت,بى ان سبورت 1HD
الدوري الإسباني,الأسبوع الخامس عشر,برشلونة,1,15:00,2,لاس بالماس,انتهت,بى ان سبورت 1HD
الدوري الإسباني,الأسبوع الخامس عشر,ألافيس,1,17:15,1,ديبورتيفو ليجانيس,انتهت,بى ان سبورت 3 HD
الدوري الإسباني,الأسبوع الخامس عشر,اسبانيول,3,19:30,1,سيلتا فيجو,انتهت,بى ان سبورت 3 HD
الدوري الإسباني,الأسبوع الخامس عشر,بلد الوليد,0,22:00,5,اتلتيكو مدريد,انتهت,بى ان سبورت 3 HD
الدوري الألماني,الأسبوع الثاني عشر,يونيون برلين,1,16:30,2,باير ليفركوزن,انتهت,بى ان سبورت 5 HD
الدوري الألماني,الأسبوع الثاني عشر,فيردر بريمن,2,16:30,2,شتوتجارت,انتهت,بى ان سبورت 6 HD
الدوري الألماني,الأسبوع الثاني عشر,لايبزيج,1,16:30,5,فولفسبورج,انتهت,
الدوري الألماني,الأسبوع الثاني عشر,أوجسبورج,1,16:30,0,بوخوم,انتهت,
الدوري الألماني,الأسبوع الثاني عشر,فرايبورج,3,16:30,1,مونشنجلادباخ,انتهت,
الدوري الألماني,الأسبوع الثاني عشر,بروسيا دورتموند,1,19:30,1,بايرن ميونيخ,انتهت,بى ان سبورت 5 HD
كأس السوبر المصري البحريني لكرة السلة,المركز الثالث,الأهلي,88,16:30,82,الأهلي البحريني,انتهت,
كأس السوبر المصري البحريني لكرة السلة,المباراة النهائية,الاتحاد السكندري,77,18:30,63,نادي المنامة,انتهت,
الدوري الفرنسي,الأسبوع الثالث عشر,رين,5,18:00,0,سانت اتيان,انتهت,بى ان سبورت 4 HD
الدوري الفرنسي,الأسبوع الثالث عشر,بريست,3,20:00,1,ستراسبورج,انتهت,بى ان سبورت 2 HD
الدوري الفرنسي,الأسبوع الثالث عشر,باريس سان جيرمان,1,22:00,1,نانت,انتهت,بى ان سبورت 1HD
الدوري الإيطالي,الأسبوع الرابع عشر,كومو,1,16:00,1,مونزا,انتهت,
الدوري الإيطالي,الأسبوع الرابع عشر,ميلان,3,19:00,0,إمبولي,انتهت,
الدوري الإيطالي,الأسبوع الرابع عشر,بولونيا,3,21:45,0,فينيزيا,انتهت,
الدوري السعودي,الأسبوع الثاني عشر,الرائد,0,15:20,1,التعاون,انتهت,
الدوري السعودي,الأسبوع الثاني عشر,الاتفـــــاق,0,16:25,4,الاتحاد,انتهت,
الدوري السعودي,الأسبوع الثاني عشر,الشباب,1,19:00,2,الهلال,انتهت,
الدوري التركي,الأسبوع الرابع عشر,سامسون سبور,4,12:30,0,بودرامسبور,انتهت,
الدوري التركي,الأسبوع الرابع عشر,أضنة دمير سبور,0,15:00,1,قونيا سبور,انتهت,
الدوري التركي,الأسبوع الرابع عشر,ألانيا سبور,2,18:00,1,طرابزون سبور,انتهت,
الدوري التركي,الأسبوع الرابع عشر,إسطنبول باشاكشهير,4,18:00,1,جوزتيبي,انتهت,
الدوري البرتغالي,الأسبوع الثاني عشر,ريو آفي,3,17:30,2,موريرنسي,انتهت,
الدوري البرتغالي,الأسبوع الثاني عشر,ناسيونال ماديرا,0,20:00,0,بوافيستا,انتهت,
الدوري البرتغالي,الأسبوع الثاني عشر,سبورتينج لشبونة,0,22:30,1,سانتا كلارا,انتهت,
الدوري المغربي,الأسبوع الثاني عشر,الشباب الرياضي السالمي,0,17:00,3,الجيش الملكي,انتهت,
الدوري المغربي,الأسبوع الثاني عشر,النادي المكناسي,1,19:00,1,شباب المحمدية,انتهت,
الدوري المغربي,الأسبوع الثاني عشر,المغرب التطواني,0,21:00,2,الفتح الرباطي,انتهت,
الدوري التونسي,الأسبوع العاشر,اتحاد تطاوين,1,15:00,0,الأولمبي الباجي,انتهت,
الدوري التونسي,الأسبوع العاشر,الملعب التونسي,1,15:00,0,الافريقي التونسي,انتهت,
الدوري التونسي,الأسبوع العاشر,النجم الساحلى,2,15:00,0,فابيس,انتهت,
الدوري التونسي,الأسبوع العاشر,البنزرتي,0,15:00,1,إتحاد بن قردان,انتهت,
