Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,Market Cap,Volume,Circulating Supply,Extraction Time
45,Fantom,FTM,$1.24,2.37%,-3.07%,"$3,470,251,673","$302,935,891","2,803,634,836 FTM",2024-12-15 10:30:10
46,Cosmos,ATOM,$8.81,0.50%,-4.06%,"$3,443,118,561","$285,337,246","390,934,204 ATOM",2024-12-15 10:30:10
47,Stacks,STX,$2.26,1.33%,-2.37%,"$3,402,108,197","$153,178,246","1,504,850,645 STX",2024-12-15 10:30:10
48,Ethena,ENA,$1.15,1.89%,14.15%,"$3,382,941,464","$981,942,035","2,937,500,000 ENA",2024-12-15 10:30:10
49,OKB,OKB,$53.31,0.16%,-2.86%,"$3,198,888,192","$3,561,993","60,000,000 OKB",2024-12-15 10:30:10
50,Celestia,TIA,$6.77,0.84%,-3.06%,"$3,066,980,914","$153,832,939","452,723,369 TIA",2024-12-15 10:30:10
51,Optimism,OP,$2.42,0.07%,-7.74%,"$3,040,579,812","$433,323,801","1,255,070,491 OP",2024-12-15 10:30:10
52,Immutable,IMX,$1.79,1.03%,-7.16%,"$3,029,939,431","$84,913,437","1,694,765,880 IMX",2024-12-15 10:30:10
53,dogwifhat,WIF,$2.79,1.79%,-4.61%,"$2,787,732,640","$327,965,117","998,844,837 WIF",2024-12-15 10:30:10
54,Bonk,BONK,$0.00003571,1.12%,-6.79%,"$2,703,047,424","$266,527,420","75,687,890,954,252 BONK",2024-12-15 10:30:10
55,Injective,INJ,$27.23,1.05%,-4.56%,"$2,694,565,327","$121,128,995","98,970,935 INJ",2024-12-15 10:30:10
56,Theta Network,THETA,$2.60,1.55%,-3.91%,"$2,601,940,852","$53,863,044","1,000,000,000 THETA",2024-12-15 10:30:10
57,The Graph,GRT,$0.2719,0.91%,-3.92%,"$2,596,347,951","$93,932,362","9,548,531,509 GRT",2024-12-15 10:30:10
58,Ondo,ONDO,$1.81,0.33%,-5.64%,"$2,508,676,945","$252,275,802","1,389,759,838 ONDO",2024-12-15 10:30:10
59,Sei,SEI,$0.5696,1.13%,-6.11%,"$2,396,861,130","$227,137,390","4,207,777,777 SEI",2024-12-15 10:30:10
60,Virtuals Protocol,VIRTUAL,$2.34,-0.92%,-4.91%,"$2,342,196,981","$205,977,833","1,000,000,000 VIRTUAL",2024-12-15 10:30:10
61,Worldcoin,WLD,$2.93,0.66%,-3.73%,"$2,270,743,537","$344,166,895","774,319,771 WLD",2024-12-15 10:30:10
62,FLOKI,FLOKI,$0.0002263,0.68%,-5.80%,"$2,172,382,291","$1,185,152,615","9,598,342,255,064 FLOKI",2024-12-15 10:30:10
63,JasmyCoin,JASMY,$0.0437,0.22%,-2.13%,"$2,158,755,967","$221,849,394","49,394,999,677 JASMY",2024-12-15 10:30:10
