Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply
51,Optimism,OP,$2.53,0.32%,1.42%,6.69%,"$3,174,975,472","$684,986,181","1,255,070,491 OP"
52,dogwifhat,WIF,$2.93,0.11%,5.04%,17.28%,"$2,922,176,708","$495,384,381","998,844,841 WIF"
53,Ethena,ENA,$0.9905,0.76%,8.37%,6.29%,"$2,909,502,327","$459,670,957","2,937,500,000 ENA"
54,Bonk,BONK,$0.00003823,1.03%,3.20%,11.82%,"$2,893,078,476","$387,379,063","75,666,558,233,906 BONK"
55,Injective,INJ,$28.82,0.46%,3.51%,16.70%,"$2,852,259,086","$164,966,999","98,970,935 INJ"
56,Ondo,ONDO,$1.94,0.05%,7.20%,14.31%,"$2,691,172,447","$516,615,478","1,389,759,838 ONDO"
57,The Graph,GRT,$0.2815,0.02%,3.81%,17.94%,"$2,687,781,383","$117,219,111","9,548,531,509 GRT"
58,Theta Network,THETA,$2.68,0.44%,1.69%,13.48%,"$2,675,595,667","$66,910,603","1,000,000,000 THETA"
59,Virtuals Protocol,VIRTUAL,$2.42,1.67%,22.10%,31.10%,"$2,415,018,293","$323,593,299","1,000,000,000 VIRTUAL"
60,Sei,SEI,$0.5942,0.34%,4.97%,16.17%,"$2,366,600,964","$316,489,539","3,982,916,666 SEI"
61,Worldcoin,WLD,$3.06,0.66%,2.62%,21.28%,"$2,345,616,492","$480,577,689","767,348,720 WLD"
62,JasmyCoin,JASMY,$0.04706,0.06%,7.41%,5.99%,"$2,324,316,572","$530,706,757","49,394,999,677 JASMY"
63,FLOKI,FLOKI,$0.0002419,0.46%,1.25%,2.74%,"$2,322,327,868","$433,870,404","9,598,648,810,350 FLOKI"
64,THORChain,RUNE,$6.46,0.38%,1.03%,10.89%,"$2,199,973,203","$356,063,179","340,812,606 RUNE"
65,First Digital USD,FDUSD,$1.00,0.01%,0.18%,0.29%,"$2,037,325,571","$8,785,048,698","2,032,769,625 FDUSD"
66,Lido DAO,LDO,$2.16,0.55%,7.67%,7.80%,"$1,938,706,606","$344,444,903","896,268,511 LDO"
67,Gala,GALA,$0.05171,0.36%,1.66%,12.68%,"$1,888,903,100","$365,768,924","36,531,250,147 GALA"
68,The Sandbox,SAND,$0.7751,0.13%,2.68%,14.89%,"$1,883,743,195","$544,951,771","2,430,232,126 SAND"
69,Maker,MKR,"$2,052.74",0.10%,1.82%,10.59%,"$1,828,791,678","$174,011,805","890,904 MKR"
70,Beam,BEAM,$0.03644,0.29%,9.61%,5.24%,"$1,802,485,518","$148,777,016","49,466,004,168 BEAM"
71,Brett (Based),BRETT,$0.1741,0.09%,4.42%,13.82%,"$1,725,246,827","$64,991,586","9,910,236,395 BRETT"
72,Quant,QNT,$140.42,0.01%,2.10%,4.42%,"$1,695,294,247","$51,492,842","12,072,738 QNT"
73,EOS,EOS,$1.09,0.50%,3.41%,18.93%,"$1,675,919,130","$330,035,365","1,533,426,824 EOS"
74,Flare,FLR,$0.02988,0.70%,0.12%,8.01%,"$1,635,439,993","$31,610,845","54,730,196,281 FLR"
75,Pyth Network,PYTH,$0.4507,0.36%,1.32%,14.85%,"$1,633,644,275","$158,030,321","3,624,988,786 PYTH"
76,KuCoin Token,KCS,$13.45,0.33%,0.04%,1.15%,"$1,617,473,165","$1,378,760","120,225,681 KCS"
77,Kaia,KAIA,$0.2739,0.38%,2.62%,13.73%,"$1,614,183,021","$59,233,527","5,892,972,614 KAIA"
78,Raydium,RAY,$5.42,0.87%,1.24%,8.15%,"$1,575,729,662","$143,149,069","290,912,824 RAY"
79,Flow,FLOW,$0.9827,0.02%,2.08%,14.27%,"$1,523,694,234","$106,608,187","1,550,566,852 FLOW"
80,Aerodrome Finance,AERO,$2.14,1.27%,5.75%,1.15%,"$1,522,777,565","$94,316,114","710,257,965 AERO"
81,Ethereum Name Service,ENS,$43.12,0.64%,4.33%,0.82%,"$1,515,510,540","$839,416,048","35,143,836 ENS"
82,Arweave,AR,$22.88,0.19%,2.07%,19.25%,"$1,502,283,113","$227,598,542","65,652,466 AR"
83,Jupiter,JUP,$1.11,0.24%,5.55%,18.53%,"$1,499,529,091","$145,712,644","1,350,000,000 JUP"
84,Tezos,XTZ,$1.45,0.07%,3.32%,14.62%,"$1,479,116,351","$99,707,539","1,018,214,760 XTZ"
85,IOTA,IOTA,$0.4153,0.70%,3.26%,6.64%,"$1,476,427,300","$108,588,539","3,554,846,536 IOTA"
86,Starknet,STRK,$0.6467,0.21%,4.90%,18.84%,"$1,461,106,331","$170,288,101","2,259,283,720 STRK"
