Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply,Extraction Time
43,MANTRA,OM,$3.80,0.04%,4.97%,5.08%,"$3,589,330,572","$75,824,593","945,131,307 OM",2024-12-15 09:40:33
44,Cosmos,ATOM,$8.83,0.08%,4.14%,11.32%,"$3,450,979,719","$286,265,089","390,934,204 ATOM",2024-12-15 09:40:33
45,Algorand,ALGO,$0.416,0.02%,3.60%,15.45%,"$3,460,304,007","$255,866,794","8,318,396,851 ALGO",2024-12-15 09:40:33
46,Fantom,FTM,$1.23,0.84%,3.76%,6.04%,"$3,436,504,787","$299,713,044","2,803,634,836 FTM",2024-12-15 09:40:33
47,Stacks,STX,$2.25,0.97%,3.30%,13.75%,"$3,392,003,698","$151,652,642","1,504,850,645 STX",2024-12-15 09:40:33
48,Ethena,ENA,$1.14,0.63%,13.38%,11.88%,"$3,350,187,814","$970,054,989","2,937,500,000 ENA",2024-12-15 09:40:33
49,OKB,OKB,$53.28,0.27%,3.24%,9.89%,"$3,196,924,474","$3,620,306","60,000,000 OKB",2024-12-15 09:40:33
50,Celestia,TIA,$6.75,0.19%,4.15%,18.38%,"$3,054,478,684","$153,390,438","452,723,369 TIA",2024-12-15 09:40:33
51,Optimism,OP,$2.43,0.24%,7.28%,8.34%,"$3,050,142,015","$437,631,762","1,255,070,491 OP",2024-12-15 09:40:33
52,Immutable,IMX,$1.78,0.04%,7.78%,11.73%,"$3,013,003,212","$84,834,335","1,694,765,880 IMX",2024-12-15 09:40:33
53,dogwifhat,WIF,$2.75,0.04%,6.29%,25.78%,"$2,743,496,888","$332,549,855","998,844,838 WIF",2024-12-15 09:40:33
54,Bonk,BONK,$0.00003561,0.44%,7.40%,21.16%,"$2,695,330,737","$267,870,645","75,687,922,142,284 BONK",2024-12-15 09:40:33
55,Injective,INJ,$27.08,0.61%,5.64%,17.22%,"$2,679,801,152","$121,730,428","98,970,935 INJ",2024-12-15 09:40:33
56,The Graph,GRT,$0.2718,0.72%,4.35%,14.94%,"$2,595,413,810","$92,834,303","9,548,531,509 GRT",2024-12-15 09:40:33
57,Theta Network,THETA,$2.58,0.09%,5.56%,15.31%,"$2,578,766,130","$53,894,841","1,000,000,000 THETA",2024-12-15 09:40:33
