Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply
Cosmos,ATOM,$9.13,0.52%,2.74%,11.71%,"$3,567,864,048","$414,286,463","390,934,204 ATOM"
Stacks,STX,$2.29,0.61%,2.41%,17.63%,"$3,443,170,855","$166,306,353","1,504,636,754 STX"
OKB,OKB,$55.04,0.18%,0.24%,8.69%,"$3,302,359,013","$5,133,787","60,000,000 OKB"
Immutable,IMX,$1.91,0.50%,1.75%,10.65%,"$3,235,367,783","$101,093,298","1,694,765,880 IMX"
Celestia,TIA,$7.12,0.69%,2.09%,20.94%,"$3,213,429,616","$245,130,188","451,516,078 TIA"
Optimism,OP,$2.56,0.67%,0.25%,5.18%,"$3,210,490,537","$658,402,671","1,255,070,491 OP"
dogwifhat,WIF,$2.93,0.28%,2.19%,16.44%,"$2,928,548,332","$447,568,405","998,844,841 WIF"
Ethena,ENA,$0.9952,0.55%,5.82%,4.78%,"$2,923,420,219","$437,133,801","2,937,500,000 ENA"
Bonk,BONK,$0.00003838,0.43%,0.50%,12.05%,"$2,904,129,366","$369,364,896","75,667,429,842,087 BONK"
Injective,INJ,$29.05,0.72%,0.09%,16.08%,"$2,875,487,995","$155,157,874","98,970,935 INJ"
Ondo,ONDO,$1.96,1.04%,10.78%,14.86%,"$2,717,272,265","$512,279,747","1,389,759,838 ONDO"
The Graph,GRT,$0.2838,0.73%,0.26%,16.66%,"$2,709,422,844","$109,736,132","9,548,531,509 GRT"
Theta Network,THETA,$2.70,0.83%,1.18%,12.94%,"$2,699,421,330","$64,058,648","1,000,000,000 THETA"
Virtuals Protocol,VIRTUAL,$2.42,1.33%,24.36%,27.85%,"$2,419,449,355","$316,431,835","1,000,000,000 VIRTUAL"
Sei,SEI,$0.5976,0.52%,1.47%,15.57%,"$2,380,077,367","$301,123,150","3,982,916,666 SEI"
Worldcoin,WLD,$3.07,0.53%,0.63%,20.68%,"$2,359,881,993","$457,251,027","767,591,955 WLD"
JasmyCoin,JASMY,$0.0477,1.16%,13.33%,5.93%,"$2,356,059,404","$529,669,146","49,394,999,677 JASMY"
FLOKI,FLOKI,$0.0002435,0.83%,2.30%,2.17%,"$2,337,572,432","$406,510,284","9,598,648,810,350 FLOKI"
THORChain,RUNE,$6.50,0.64%,2.56%,12.27%,"$2,214,263,806","$350,657,888","340,813,539 RUNE"
First Digital USD,FDUSD,$1.00,0.05%,0.36%,0.32%,"$2,038,250,767","$8,476,140,904","2,032,769,625 FDUSD"
Lido DAO,LDO,$2.17,0.27%,4.49%,6.40%,"$1,948,115,278","$321,993,783","896,268,511 LDO"
Gala,GALA,$0.05197,0.35%,2.36%,13.07%,"$1,898,556,518","$337,790,591","36,531,777,379 GALA"
The Sandbox,SAND,$0.7812,0.65%,0.94%,14.40%,"$1,898,569,753","$511,961,899","2,430,232,126 SAND"
Maker,MKR,"$2,062.92",0.53%,1.82%,9.28%,"$1,837,862,656","$165,645,107","890,904 MKR"
Beam,BEAM,$0.03619,0.31%,5.65%,5.41%,"$1,790,362,238","$137,925,500","49,466,004,168 BEAM"
Brett (Based),BRETT,$0.1757,0.87%,0.65%,12.77%,"$1,741,274,776","$60,738,991","9,910,236,395 BRETT"
Quant,QNT,$140.83,0.14%,1.66%,6.63%,"$1,700,262,611","$49,080,928","12,072,738 QNT"
EOS,EOS,$1.10,0.30%,0.05%,19.49%,"$1,681,928,725","$312,705,698","1,533,433,411 EOS"
Flare,FLR,$0.03001,0.31%,3.39%,7.43%,"$1,642,674,967","$29,477,430","54,730,196,281 FLR"
Pyth Network,PYTH,$0.4512,0.08%,1.42%,14.80%,"$1,635,522,495","$151,211,215","3,624,988,786 PYTH"
Kaia,KAIA,$0.2755,0.43%,0.57%,15.15%,"$1,623,439,121","$56,275,344","5,893,007,126 KAIA"
KuCoin Token,KCS,$13.48,0.20%,0.30%,1.01%,"$1,620,207,333","$1,242,177","120,225,681 KCS"
Raydium,RAY,$5.41,0.22%,2.44%,7.41%,"$1,574,899,729","$133,375,154","290,912,824 RAY"
Flow,FLOW,$0.988,0.36%,0.60%,14.66%,"$1,531,929,519","$104,609,580","1,550,566,852 FLOW"
Aerodrome Finance,AERO,$2.15,0.27%,2.75%,0.09%,"$1,527,087,952","$88,259,516","710,256,562 AERO"
Ethereum Name Service,ENS,$43.06,0.14%,6.55%,0.57%,"$1,513,309,408","$820,105,027","35,143,836 ENS"
