Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,Market Cap,Volume,Circulating Supply,Extraction Time
1,Bitcoin,BTC,"$102,152.41",0.11%,0.64%,"$2,022,179,029,739","$38,775,730,934","19,796,178 BTC",2024-12-15 11:46:21
2,Ethereum,ETH,"$3,868.54",0.28%,-0.70%,"$465,913,499,459","$27,873,152,054","120,448,516 ETH",2024-12-15 11:46:21
3,Tether,USDT,$0.9997,0.01%,-0.01%,"$140,214,313,796","$100,889,195,788","140,253,672,849 USDT",2024-12-15 11:46:21
4,XRP,XRP,$2.42,0.27%,-1.04%,"$138,216,773,285","$6,106,963,008","57,187,870,382 XRP",2024-12-15 11:46:21
5,Solana,SOL,$219.02,0.22%,-2.72%,"$104,947,111,549","$2,907,816,664","479,157,616 SOL",2024-12-15 11:46:21
6,BNB,BNB,$711.31,0.18%,-1.43%,"$102,434,345,853","$1,792,210,895","144,008,339 BNB",2024-12-15 11:46:21
7,Dogecoin,DOGE,$0.3986,-0.01%,-1.91%,"$58,675,009,560","$3,195,070,781","147,209,256,384 DOGE",2024-12-15 11:46:21
8,USDC,USDC,$0.9999,0.00%,0.02%,"$42,007,869,766","$6,161,228,519","42,009,993,360 USDC",2024-12-15 11:46:21
9,Cardano,ADA,$1.08,0.41%,-2.31%,"$37,847,076,919","$1,019,636,980","35,112,728,715 ADA",2024-12-15 11:46:21
10,TRON,TRX,$0.2812,0.34%,-4.73%,"$24,254,201,152","$1,065,759,247","86,243,554,686 TRX",2024-12-15 11:46:21
11,Avalanche,AVAX,$49.30,-0.14%,-7.00%,"$20,196,704,796","$724,850,056","409,696,065 AVAX",2024-12-15 11:46:21
12,Chainlink,LINK,$28.92,0.72%,-4.00%,"$18,126,831,317","$1,931,693,294","626,849,970 LINK",2024-12-15 11:46:21
13,Shiba Inu,SHIB,$0.00002744,-0.07%,-2.47%,"$16,166,646,850","$676,551,423","589,255,537,568,775 SHIB",2024-12-15 11:46:21
14,Toncoin,TON,$6.24,0.44%,-0.88%,"$15,914,043,326","$230,315,080","2,551,130,513 TON",2024-12-15 11:46:21
15,Polkadot,DOT,$8.72,1.60%,-1.00%,"$13,328,838,867","$536,217,688","1,528,712,710 DOT",2024-12-15 11:46:21
16,Sui,SUI,$4.44,-0.11%,-4.28%,"$12,989,749,502","$1,212,427,960","2,927,660,019 SUI",2024-12-15 11:46:21
